Date : 2022-11-24 16:32:09
Directory : /home/mn/Documents/Hospital/hospital-project/src
Total : 93 files,  5100 codes, 26 comments, 515 blanks, all 5641 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         43 |      4,011 |         13 |        326 |      4,350 |
| SCSS             |         32 |        603 |          4 |        109 |        716 |
| JavaScript       |         13 |        281 |          0 |         44 |        325 |
| CSS              |          5 |        205 |          9 |         36 |        250 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |         93 |      5,100 |         26 |        515 |      5,641 |
| apis                                                                                             |          9 |         72 |          0 |         11 |         83 |
| components                                                                                       |         21 |      1,093 |         12 |        109 |      1,214 |
| components/TreatmentTimesTable                                                                   |          2 |        147 |          0 |         13 |        160 |
| components/doctors                                                                               |          2 |        108 |          0 |          6 |        114 |
| components/form                                                                                  |          5 |        395 |          0 |         46 |        441 |
| components/layout                                                                                |          3 |        130 |         12 |         15 |        157 |
| components/layout/SideMenu                                                                       |          2 |         57 |          0 |          7 |         64 |
| pages                                                                                            |         26 |      3,110 |         10 |        250 |      3,370 |
| pages/bonus                                                                                      |          1 |          7 |          0 |          2 |          9 |
| pages/calendar                                                                                   |          1 |        154 |          0 |         20 |        174 |
| pages/custommer                                                                                  |          8 |        897 |          8 |         84 |        989 |
| pages/custommer/advice                                                                           |          2 |         76 |          0 |          6 |         82 |
| pages/custommer/custommerAdd                                                                     |          2 |        209 |          7 |         16 |        232 |
| pages/custommer/custommerNews                                                                    |          3 |        532 |          1 |         52 |        585 |
| pages/employee                                                                                   |          3 |        652 |          0 |         33 |        685 |
| pages/home                                                                                       |          4 |        535 |          1 |         30 |        566 |
| pages/login                                                                                      |          1 |        102 |          0 |         11 |        113 |
| pages/profile                                                                                    |          1 |        183 |          0 |         11 |        194 |
| pages/report                                                                                     |          1 |          7 |          0 |          2 |          9 |
| pages/resource                                                                                   |          1 |        134 |          0 |         13 |        147 |
| pages/service                                                                                    |          3 |        199 |          0 |         24 |        223 |
| pages/test                                                                                       |          1 |         38 |          0 |          4 |         42 |
| pages/work_users                                                                                 |          1 |        202 |          1 |         16 |        219 |
| styles                                                                                           |         32 |        603 |          4 |        109 |        716 |
| styles/abstracts                                                                                 |          4 |          0 |          0 |          4 |          4 |
| styles/base                                                                                      |          2 |          4 |          0 |          3 |          7 |
| styles/components                                                                                |         12 |        313 |          0 |         53 |        366 |
| styles/layout                                                                                    |          1 |          0 |          0 |          1 |          1 |
| styles/pages                                                                                     |         11 |        207 |          0 |         28 |        235 |
| styles/themes                                                                                    |          1 |         65 |          4 |         14 |         83 |
| utils                                                                                            |          2 |        102 |          0 |         26 |        128 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                         | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/mn/Documents/Hospital/hospital-project/src/App.js                                          | JavaScript       |         91 |          0 |          5 |         96 |
| /home/mn/Documents/Hospital/hospital-project/src/apis/auth.js                                    | JavaScript       |          6 |          0 |          2 |          8 |
| /home/mn/Documents/Hospital/hospital-project/src/apis/customers.js                               | JavaScript       |         14 |          0 |          3 |         17 |
| /home/mn/Documents/Hospital/hospital-project/src/apis/doctors.js                                 | JavaScript       |          9 |          0 |          2 |         11 |
| /home/mn/Documents/Hospital/hospital-project/src/apis/index.js                                   | JavaScript       |          9 |          0 |          1 |         10 |
| /home/mn/Documents/Hospital/hospital-project/src/apis/resource.js                                | JavaScript       |          6 |          0 |          0 |          6 |
| /home/mn/Documents/Hospital/hospital-project/src/apis/services.js                                | JavaScript       |          6 |          0 |          0 |          6 |
| /home/mn/Documents/Hospital/hospital-project/src/apis/treatment-times.js                         | JavaScript       |          9 |          0 |          2 |         11 |
| /home/mn/Documents/Hospital/hospital-project/src/apis/treatments.js                              | JavaScript       |          6 |          0 |          1 |          7 |
| /home/mn/Documents/Hospital/hospital-project/src/apis/user.js                                    | JavaScript       |          7 |          0 |          0 |          7 |
| /home/mn/Documents/Hospital/hospital-project/src/components/Customers.jsx                        | JavaScript React |         45 |          0 |          3 |         48 |
| /home/mn/Documents/Hospital/hospital-project/src/components/DoctorWorkingHours.jsx               | JavaScript React |         31 |          0 |          3 |         34 |
| /home/mn/Documents/Hospital/hospital-project/src/components/OrderTimeCustommer.jsx               | JavaScript React |         25 |          0 |          3 |         28 |
| /home/mn/Documents/Hospital/hospital-project/src/components/PageLoading.jsx                      | JavaScript React |         13 |          0 |          3 |         16 |
